CDBETCOND; BTWBEREKENEN; BEDRAGBTW; BTWAANGEPAST; CDBTW; CDAANMANEN; CDDAGBOEK; CDDEBITEUR; FACTSALDO; FACTDATUM; FACTNUMMER; PERIODE
14;J;46,27875;N;2;J;80;D00003;266,65375;03-07-2020;MB3072020;7;
14;J;31,0275;N;2;J;80;D00009;178,7775;03-07-2020;TA024062020;7;
14;J;72,24;N;2;J;80;D00006;416,24;17-07-2020;ER17072020;7;
14;J;114,1875;N;2;J;80;D00003;657,9375;17-07-2020;MB17072020;7;
14;J;72,24;N;2;J;80;D00001;416,24;17-07-2020;WR17072020;7;
14;J;241,5525;N;2;J;80;D00002;1391,8025;17-07-2020;GL17072020;7;
14;J;113,4;N;2;J;80;D00007;653,4;17-07-2020;SH17072020;7;
14;J;26,25;N;2;J;80;D00010;151,25;17-07-2020;DB17072020;7;
14;J;154,98;N;2;J;80;D00011;892,98;29-07-2020;IReal29072020;7;
14;J;80,01;N;2;J;80;D00001;461,01;29-07-2020;WR29072020;7;
14;J;110,88;N;2;J;80;D00002;638,88;29-07-2020;GL29072020;7;
14;J;40,635;N;2;J;80;D00003;234,135;29-07-2020;MB29072020;7;
14;J;36,12;N;2;J;80;D00001;208,12;09-08-2020;WR09082020;8;
14;J;253,26;N;2;J;80;D00002;1459,26;09-08-2020;GL09082020;8;
14;J;27,09;N;2;J;80;D00003;156,09;09-08-2020;MB09082020;8;
14;J;42;N;2;J;80;D00012;242;09-08-2020;HK09082020;8;
14;J;58,8;N;2;J;80;D00004;338,8;09-08-2020;DH09082020;8;
14;J;108,36;N;2;J;80;D00001;624,36;23-08-2020;WR23082020;8;
14;J;272,16;N;2;J;80;D00002;1568,16;23-08-2020;GL23082020;8;
14;J;47,775;N;2;J;80;D00004;275,275;23-08-2020;DH23082020;8;
14;J;163,275;N;2;J;80;D00013;940,775;23-08-2020;GT23082020;8;
14;J;207,9;N;2;J;80;D00002;1197,9;06-09-2020;GL06092020;9;
14;J;76,755;N;2;J;80;D00001;442,255;06-09-2020;WR06092020;9;
14;J;5,64375;N;2;J;80;D00003;32,51875;06-09-2020;MB06092020;9;
14;J;82,6875;N;2;J;80;D00013;476,4375;28-09-2020;GT28092020;9;
14;J;337,218;N;2;J;80;D00001;1943,018;28-09-2020;WR28092020;9;
14;J;190,575;N;2;J;80;D00003;1098,075;28-09-2020;MB28092020;9;
14;J;21,525;N;2;J;80;D00010;124,025;28-09-2020;DB28092020;9;
14;J;208,593;N;2;J;80;D00005;1201,893;28-09-2020;RR28092020;9;
14;J;24,8325;N;2;J;80;D00005;143,0825;28-09-2020;RR29092020;9;
14;J;346,01175;N;2;J;80;D00006;1993,68675;28-09-2020;ER28092020;9;
14;J;15,8025;N;2;J;80;D00005;91,0525;10-10-2020;RR10102020;10;
14;J;64,65375;N;2;J;80;D00001;372,52875;10-10-2020;WR10102020;10;
14;J;46,06875;N;2;J;80;D00004;265,44375;10-10-2020;DH10102020;10;
14;J;55,44;N;2;J;80;D00002;319,44;10-10-2020;GL10102020;10;
14;J;36,12;N;2;J;80;D00003;208,12;10-10-2020;MB10102020;10;
14;J;72,24;N;2;J;80;D00001;416,24;25-10-2020;WR25102020;10;
14;J;64,33875;N;2;J;80;D00003;370,71375;25-10-2020;MB25102020;10;
14;J;195,3;N;2;J;80;D00002;1125,3;25-10-2020;GL25102020;10;
14;J;115,5;N;2;J;80;D00014;665,5;25-10-2020;EL25102020;10;
14;J;18,9;N;2;J;80;D00004;108,9;25-10-2020;DH25102020;10;
14;J;112,875;N;2;J;80;D00001;650,375;08-11-2020;WR08112020;11;
14;J;160,02;N;2;J;80;D00002;922,02;08-11-2020;GL08112020;11;
14;J;15,8025;N;2;J;80;D00003;91,0525;08-11-2020;MB08112020;11;
14;J;48,825;N;2;J;80;D00007;281,325;08-11-2020;SH08112020;11;
14;J;72,24;N;2;J;80;D00001;416,24;22-11-2020;WR22112020;11;
14;J;165,06;N;2;J;80;D00002;951,06;22-11-2020;GL22112020;11;
14;J;80,87625;N;2;J;80;D00003;466,00125;22-11-2020;MB22112020;11;
14;J;22,8375;N;2;J;80;D00007;131,5875;22-11-2020;SH22112020;11;
14;J;86,835;N;2;J;80;D00013;500,335;22-11-2020;GT22112020;11;
14;J;158,76;N;2;J;80;D00002;914,76;06-12-2020;GL06122020;12;
14;J;41,86875;N;2;J;80;D00014;241,24375;06-12-2020;EL06122020;12;
14;J;46,2;N;2;J;80;D00014;266,2;06-12-2020;EL06102020;12;
14;J;36,12;N;2;J;80;D00003;208,12;06-12-2020;MB06122020;12;
14;J;36,12;N;2;J;80;D00001;208,12;06-12-2020;WR06122020;12;
14;J;26,46;N;2;J;80;D00002;152,46;20-12-2020;GL20122020;12;
14;J;36,12;N;2;J;80;D00003;208,12;20-12-2020;MB20122020;12;
14;J;44,1;N;2;J;80;D00002;254,1;29-12-2020;GL29122020;12;
14;J;36,12;N;2;J;80;D00001;208,12;29-12-2020;WR29122020;12;
14;J;434,175;N;2;J;80;D00007;2501,675;29-12-2020;SH29122020;12;
14;J;126,2625;N;2;J;80;D00015;727,5125;12-01-2021;2021001;1;
14;J;11,2875;N;2;J;80;D00001;65,0375;17-01-2021;2021002;1;
14;J;37,8;N;2;J;80;D00002;217,8;17-01-2021;2021003;1;
14;J;46,2;N;2;J;80;D00014;266,2;17-01-2021;2021004;1;
14;J;36,12;N;2;J;80;D00003;208,12;17-01-2021;2021005;1;
14;J;465,15;N;2;J;80;D00007;2680,15;24-01-2021;2021006;1;
14;J;36,12;N;2;J;80;D00001;208,12;24-01-2021;2021007;1;
14;J;133,875;N;2;J;80;D00007;771,375;24-01-2021;2021008;1;
14;J;36,12;N;2;J;80;D00003;208,12;24-01-2021;2021009;1;
14;J;72,24;N;2;J;80;D00001;416,24;07-02-2021;202010;2;
14;J;67,725;N;2;J;80;D00003;390,225;07-02-2021;2021011;2;
14;J;198,45;N;2;J;80;D00007;1143,45;07-02-2021;2021012;2;
14;J;159,7575;N;2;J;80;D00004;920,5075;07-02-2021;2021013;2;
14;J;14,4375;N;2;J;80;D00013;83,1875;10-02-2021;2021014;2;
14;J;59,85;N;2;J;80;D00016;344,85;10-02-2021;2021015;2;
14;J;239,61;N;2;J;80;D00017;1380,61;11-02-2021;2021016;2;
14;J;46,62;N;2;J;80;D00001;268,62;21-02-2021;2021017;2;
14;J;36,12;N;2;J;80;D00003;208,12;21-02-2021;2021018;2;
14;J;273,42;N;2;J;80;D00002;1575,42;09-03-2021;2021019;3;
14;J;72,24;N;2;J;80;D00001;416,24;09-03-2021;2021020;3;
14;J;36,12;N;2;J;80;D00003;208,12;09-03-2021;2021021;3;
14;J;12,6;N;2;J;80;D00004;72,6;09-03-2021;2021022;3;
14;J;1131,375;N;2;J;80;D00015;6518,875;17-03-2021;2021023;3;
14;J;307,7235;N;2;J;80;D00004;1773,0735;17-03-2021;2021024;3;
14;J;78,75;N;2;J;80;D00007;453,75;17-03-2021;2021025;3;
14;J;110,6175;N;2;J;80;D00003;637,3675;28-03-2021;2021026;3;
14;J;72,24;N;2;J;80;D00001;416,24;28-03-2021;2021027;3;
14;J;223,02;N;2;J;80;D00002;1285,02;28-03-2021;2021028w;3;
14;J;31,5;N;2;J;80;D00016;181,5;28-03-2021;2021028;3;
14;J;237,0375;N;2;J;80;D00018;1365,7875;05-04-2021;2021029;4;
14;J;637,0875;N;2;J;80;D00015;3670,8375;05-04-2021;2021030;4;
14;J;36,12;N;2;J;80;D00001;208,12;05-04-2021;2021031;4;
14;J;11,2875;N;2;J;80;D00003;65,0375;05-04-2021;2021032;4;
14;J;40,425;N;2;J;80;D00007;232,925;06-04-2021;2021033;4;
14;J;263,8125;N;2;J;80;D00007;1520,0625;11-04-2021;2021034;4;
14;J;5,775;N;2;J;80;D00004;33,275;11-04-2021;2021035;4;
14;J;50,4;N;2;J;80;D00015;290,4;11-04-2021;2021036;4;
14;J;12,6;N;2;J;80;D00007;72,6;19-04-2021;2021037;4;
14;J;56,4375;N;2;J;80;D00003;325,1875;19-04-2021;2021038;4;
14;J;36,12;N;2;J;80;D00001;208,12;19-04-2021;2021039;4;
14;J;36,12;N;2;J;80;D00001;208,12;25-04-2021;2021040;4;
14;J;49,665;N;2;J;80;D00003;286,165;25-04-2021;2021041;4;
14;J;85,3125;N;2;J;80;D00019;491,5625;25-04-2021;2021042;4;
14;J;14,7;N;2;J;80;D00020;84,7;25-04-2021;2021043;4;
14;J;56,9625;N;2;J;80;D00007;328,2125;25-04-2021;2021044;4;
14;J;136,815;N;2;J;80;D00015;788,315;28-04-2021;2021045;4;
14;J;21,525;N;2;J;80;D00021;124,025;28-04-2021;2021046;4;
14;J;93,555;N;2;J;80;D00004;539,055;03-05-2021;2021047;5;
14;J;184,5375;N;2;J;80;D00022;1063,2875;09-05-2021;2021048;5;
14;J;146,7375;N;2;J;80;D00001;845,4875;15-05-2021;2021049;5;
14;J;133,1925;N;2;J;80;D00003;767,4425;15-05-2021;2021050;5;
14;J;106,8375;N;2;J;80;D00014;615,5875;15-05-2021;2021052;5;
14;J;311,0625;N;2;J;80;D00009;1792,3125;15-05-2021;2021053;5;
14;J;379,575;N;2;J;80;D00022;2187,075;30-05-2021;2021054;5;
14;J;44,73;N;2;J;80;D00003;257,73;30-05-2021;2021055;5;
14;J;36,12;N;2;J;80;D00001;208,12;30-05-2021;2021056;5;
14;J;114,345;N;2;J;80;D00023;658,845;01-06-2021;2021057;6;
14;J;95,2875;N;2;J;80;D00014;549,0375;06-06-2021;2021058;6;
14;J;128,6775;N;2;J;80;D00001;741,4275;17-06-2021;2021059;6;
14;J;11,739;N;2;J;80;D00001;67,639;17-06-2021;2021060;6;
14;J;25,284;N;2;J;80;D00005;145,684;17-06-2021;2021061;6;
14;J;25,284;N;2;J;80;D00006;145,684;17-06-2021;2021062;6;
14;J;106,1025;N;2;J;80;D00003;611,3525;17-06-2021;2021063;6;
14;J;10,5;N;2;J;80;D00015;60,5;17-06-2021;2021064;6;
14;J;96,6;N;2;J;80;D00013;556,6;17-06-2021;2021065;6;
14;J;164,85;N;2;J;80;D00007;949,85;17-06-2021;2021066;6;
14;J;14,7;N;2;J;80;D00015;84,7;17-06-2021;2021067;6;
14;J;5,9703;N;2;J;80;D00007;34,4003;24-06-2021;2021068;6;
14;J;287,7;N;2;J;80;D00022;1657,7;27-06-2021;2021069;6;
14;J;58,0125;N;2;J;80;D00007;334,2625;27-06-2021;2021070;6;
14;J;36,12;N;2;J;80;D00003;208,12;27-06-2021;2021071;6;
14;J;179,47125;N;2;J;80;D00001;1034,09625;11-07-2021;2021072;7;
14;J;96,4425;N;2;J;80;D00001;555,6925;11-07-2021;2021073;7;
14;J;119,4375;N;2;J;80;D00018;688,1875;11-07-2021;2021074;7;
14;J;522,1125;N;2;J;80;D00007;3008,3625;11-07-2021;2021075;7;
14;J;43,3125;N;2;J;80;D00014;249,5625;11-07-2021;2021076;7;
14;J;92,5575;N;2;J;80;D00003;533,3075;11-07-2021;2021077;7;
14;J;288,015;N;2;J;80;D00024;1659,515;25-07-2021;2021078;7;
14;J;203,9625;N;2;J;80;D00007;1175,2125;28-07-2021;2021079;7;
14;J;25,2;N;2;J;80;D00024;145,2;30-07-2021;2021080;7;
14;J;267,33;N;2;J;80;D00004;1540,33;05-08-2021;2021081;8;
14;J;171,57;N;2;J;80;D00001;988,57;05-08-2021;2021082;8;
14;J;97,0725;N;2;J;80;D00003;559,3225;05-08-2021;2021083;8;
14;J;35,28;N;2;J;80;D00002;203,28;05-08-2021;2021084;8;
14;J;137,3547;N;2;J;80;D00025;791,4247;08-08-2021;2021085;8;
14;J;96,73125;N;2;J;80;D00014;557,35625;08-08-2021;2021086;8;
14;J;31,2375;N;2;J;80;D00019;179,9875;19-08-2021;2021087;8;
14;J;174,5625;N;2;J;80;D00007;1005,8125;19-08-2021;2021088;8;
14;J;72,24;N;2;J;80;D00003;416,24;19-08-2021;2021089;8;
14;J;49,0875;N;2;J;80;D00014;282,8375;19-08-2021;2021090;8;
14;J;72,24;N;2;J;80;D00001;416,24;19-08-2021;2021091;8;
14;J;127,575;N;2;J;80;D00004;735,075;19-08-2021;2021092;8;
14;J;131,796;N;2;J;80;D00026;759,396;06-09-2021;2021093;9;
14;J;42,2625;N;2;J;80;D00025;243,5125;06-09-2021;2021094;9;
14;J;156,1875;N;2;J;80;D00007;899,9375;06-09-2021;2021095;9;
14;J;79,0125;N;2;J;80;D00005;455,2625;12-09-2021;2021096;9;
14;J;76,755;N;2;J;80;D00001;442,255;12-09-2021;2021097;9;
14;J;72,24;N;2;J;80;D00003;416,24;12-09-2021;2021098;9;
14;J;34,02;N;2;J;80;D00004;196,02;12-09-2021;2021099;9;
14;J;50,53125;N;2;J;80;D00014;291,15625;12-09-2021;2021100;9;
14;J;672,2625;N;2;J;80;D00010;3873,5125;19-09-2021;2021101;9;
14;J;73,5;N;2;J;80;D00027;423,5;19-09-2021;2021102;9;
14;J;20,3175;N;2;J;80;D00003;117,0675;19-09-2021;2021103;9;
14;J;53,05125;N;2;J;80;D00001;305,67625;28-09-2021;2021104;9;
14;J;58,66875;N;2;J;80;D00003;338,04375;28-09-2021;2021105;9;
14;J;49,665;N;2;J;80;D00005;286,165;28-09-2021;2021106;9;
14;J;12,41625;N;2;J;80;D00006;71,54125;28-09-2021;2021107;9;
14;J;85,68;N;2;J;80;D00002;493,68;28-09-2021;2021108;9;
14;J;334,11;N;2;J;80;D00001;1925,11;17-10-2021;2021109;10;
14;J;126,42;N;2;J;80;D00006;728,42;17-10-2021;2021110;10;
14;J;103,24125;N;2;J;80;D00003;594,86625;17-10-2021;2021111;10;
14;J;194,145;N;2;J;80;D00005;1118,645;17-10-2021;2021112;10;
14;J;11,025;N;2;J;80;D00013;63,525;17-10-2021;2021113;10;
14;J;48,93;N;2;J;80;D00024;281,93;17-10-2021;2021114;10;
14;J;56,5635;N;2;J;80;D00003;325,9135;24-10-2021;2021115;10;
14;J;408,114;N;2;J;80;D00007;2351,514;24-10-2021;2021116;10;
14;J;404,6931;N;2;J;80;D00028;2331,8031;02-11-2021;2021117;11;
14;J;102,8475;N;2;J;80;D00026;592,5975;02-11-2021;2021118;11;
14;J;7,266;N;2;J;80;D00028;41,866;03-11-2021;2021120;11;
14;J;537,1128;N;2;J;80;D00022;3094,7928;13-11-2021;2021121;11;
14;J;329,763;N;2;J;80;D00029;1900,063;13-11-2021;2021122;11;
14;J;147,86625;N;2;J;80;D00001;851,99125;13-11-2021;2021123;11;
14;J;117,25875;N;2;J;80;D00003;675,63375;13-11-2021;2021124;11;
14;J;50,53125;N;2;J;80;D00014;291,15625;13-11-2021;2021125;11;
14;J;48,51;N;2;J;80;D00001;279,51;28-11-2021;2021126;11;
14;J;15,75;N;2;J;80;D00028;90,75;28-11-2021;2021127;11;
14;J;88,2;N;2;J;80;D00002;508,2;28-11-2021;2021128;11;
14;J;15,75;N;2;J;80;D00007;90,75;28-11-2021;2021129;11;
14;J;319,725;N;2;J;80;D00010;1842,225;28-11-2021;2021130;11;
14;J;28,21875;N;2;J;80;D00003;162,59375;28-11-2021;2021131;11;
14;J;242,55;N;2;J;80;D00030;1397,55;03-12-2021;2021132;12;
14;J;833,7;N;2;J;80;D00007;4803,7;18-12-2021;2021133;12;
14;J;9,03;N;2;J;80;D00003;52,03;18-12-2021;2021134;12;
14;J;48,53625;N;2;J;80;D00001;279,66125;31-12-2021;2021135;12;
14;J;30,0825;N;2;J;80;D00003;173,3325;31-12-2021;20210136;12;
14;J;31,7625;N;2;J;80;D00014;183,0125;31-12-2021;20210137;12;
14;J;93,555;N;2;J;80;D00004;539,055;31-12-2021;20210138;12;
14;J;6,3;N;2;J;80;D00014;36,3;01-01-2022;2022001;1;
14;J;43,26;N;2;J;80;D00004;249,26;01-01-2022;2022002;1;
14;J;90,72;N;2;J;80;D00004;522,72;18-01-2022;2022003;1;
14;J;36,12;N;2;J;80;D00001;208,12;18-01-2022;2022004;1;
14;J;38,3775;N;2;J;80;D00003;221,1275;18-01-2022;2022005;1;
14;J;479,22;N;2;J;80;D00007;2761,22;19-01-2022;2022006;1;
14;J;65,4675;N;2;J;80;D00001;377,2175;06-02-2022;2022007;2;
14;J;99,33;N;2;J;80;D00003;572,33;06-02-2022;2022008;2;
14;J;287,7525;N;2;J;80;D00004;1658,0025;06-02-2022;2022009;2;
14;J;10,7625;N;2;J;80;D00008;62,0125;06-02-2022;2022010;2;
14;J;72,24;N;2;J;80;D00001;416,24;22-02-2022;2022011;2;
14;J;189,945;N;2;J;80;D00004;1094,445;22-02-2022;2022012;2;
14;J;48,53625;N;2;J;80;D00003;279,66125;22-02-2022;2022013;2;
14;J;5,145;N;2;J;80;D00026;29,645;22-02-2022;2022014;2;
14;J;47,25;N;2;J;80;D00018;272,25;22-02-2022;2022015;2;
14;J;23,625;N;2;J;80;D00004;136,125;22-02-2022;2022016;2;
14;J;304,8276;N;2;J;80;D00021;1756,3876;22-02-2022;2022017;2;
14;J;1387,2297;N;2;J;80;D00031;8342,7997;23-02-2022;2022018;2;
14;J;41,1075;N;2;J;80;D00004;236,8575;03-03-2022;2022020;3;
14;J;77,28;N;2;J;80;D00001;445,28;03-03-2022;2022021;3;
14;J;158,34;N;2;J;80;D00007;912,34;08-03-2022;2022022;3;
14;J;49,56;N;2;J;80;D00022;285,56;08-03-2022;2022023;3;
14;J;384,0375;N;2;J;80;D00010;2212,7875;16-03-2022;2022024;3;
14;J;87,78;N;2;J;80;D00003;505,78;16-03-2022;2022025;3;
14;J;31,395;N;2;J;80;D00001;180,895;16-03-2022;2022026;3;
14;J;161,4375;N;2;J;80;D00015;930,1875;16-03-2022;2022027;3;
14;J;937,7025;N;2;J;80;D00032;5402,9525;21-03-2022;2022028;3;
14;J;187,047;N;2;J;80;D00003;1077,747;03-04-2022;2022029;4;
14;J;79,0125;N;2;J;80;D00001;455,2625;03-04-2022;2022030;4;
14;J;233,6775;N;2;J;80;D00007;1346,4275;03-04-2022;2022031;4;
14;J;77,28;N;2;J;80;D00001;445,28;17-04-2022;2022032;4;
14;J;120,96;N;2;J;80;D00007;696,96;17-04-2022;2022033;4;
14;J;75,0225;N;2;J;80;D00022;432,2725;17-04-2022;2022034;4;
14;J;49,0875;N;2;J;80;D00014;282,8375;17-04-2022;2022035;4;
14;J;38,64;N;2;J;80;D00003;222,64;17-04-2022;2022036;4;
14;J;160,65;N;2;J;80;D00007;925,65;17-04-2022;2022037;4;
14;J;50,61;N;2;J;80;D00004;291,61;17-04-2022;2022038;4;
14;J;3,4104;N;2;J;80;D00007;19,6504;17-04-2022;2022039;4;
14;J;92,61;N;2;J;80;D00028;533,61;27-04-2022;2022040;4;
14;J;96,39;N;2;J;80;D00004;555,39;01-05-2022;2022041;5;
14;J;83,16;N;2;J;80;D00002;479,16;01-05-2022;2022042;5;
14;J;107,4675;N;2;J;80;D00003;619,2175;01-05-2022;2022043;5;
14;J;2,604;N;2;J;80;D00003;15,004;01-05-2022;2022044;5;
14;J;51,9225;N;2;J;80;D00001;299,1725;01-05-2022;2022045;5;
14;J;45,633;N;2;J;80;D00021;262,933;08-05-2022;2022046;5;
14;J;578,7201;N;2;J;80;D00007;3334,5301;08-05-2022;2022047;5;
14;J;9,45;N;2;J;80;D00013;54,45;08-05-2022;2022048;5;
14;J;155,61;N;2;J;80;D00033;896,61;17-05-2022;2022049;5;
14;J;73,71;N;2;J;80;D00001;424,71;17-05-2022;2022050;5;
14;J;149,73;N;2;J;80;D00003;862,73;17-05-2022;2022051;5;
14;J;82,593;N;2;J;80;D00005;475,893;17-05-2022;2022052;5;
14;J;29,463;N;2;J;80;D00006;169,763;17-05-2022;2022053;5;
14;J;21;N;2;J;80;D00007;121;19-05-2022;2022054;5;
14;J;714,042;N;2;J;80;D00026;4114,242;20-05-2022;2022055;5;
14;J;1680;N;2;J;80;D00034;9680;22-05-2022;2022056;5;
14;J;66,15;N;2;J;80;D00023;381,15;29-05-2022;2022057;5;
14;J;640,08;N;2;J;80;D00018;3688,08;31-05-2022;2022058;5;
14;J;35,2275;N;2;J;80;D00035;202,9775;04-06-2022;2022059;6;
14;J;86,1525;N;2;J;80;D00001;496,4025;04-06-2022;2022060;6;
14;J;43,47;N;2;J;80;D00003;250,47;04-06-2022;2022061;6;
14;J;154,98;N;2;J;80;D00026;892,98;04-06-2022;2022062;6;
14;J;532,35;N;2;J;80;D00007;3067,35;16-06-2022;2022063;6;
14;J;93,03;N;2;J;80;D00001;536,03;16-06-2022;2022064;6;
14;J;6,3756;N;2;J;80;D00007;36,7356;16-06-2022;2022065;6;
14;J;6,0984;N;2;J;80;D00007;35,1384;18-06-2022;2022066;6;
14;J;151,2;N;2;J;80;D00036;871,2;30-06-2022;2022067;6;
14;J;1307,586;N;2;J;80;D00033;7534,186;07-07-2022;2022068;7;
14;J;259,035;N;2;J;80;D00003;1492,535;07-07-2022;2022069;7;
14;J;121,8;N;2;J;80;D00007;701,8;23-07-2022;2022070;7;
14;J;173,88;N;2;J;80;D00001;1001,88;23-07-2022;2022071;7;
14;J;207,228;N;2;J;80;D00003;1194,028;23-07-2022;2022073;7;
14;J;56,7;N;2;J;80;D00004;326,7;23-07-2022;2022074;7;
14;J;454,335;N;2;J;80;D00033;2617,835;28-07-2022;2022075;7;
14;J;138,18;N;2;J;80;D00007;796,18;07-08-2022;2022076;8;
14;J;132,93;N;2;J;80;D00001;765,93;07-08-2022;2022077;8;
14;J;134,61;N;2;J;80;D00003;775,61;09-08-2022;2022078;8;
14;J;206,955;N;2;J;80;D00004;1192,455;09-08-2022;2022079;8;
14;J;36,54;N;2;J;80;D00001;210,54;09-08-2022;2022080;8;
14;J;1253,7;N;2;J;80;D00026;7223,7;09-08-2022;2022081;8;
14;J;165,858;N;2;J;80;D00001;955,658;27-08-2022;2022082;8;
14;J;164,01;N;2;J;80;D00004;945,01;27-08-2022;2022083;8;
14;J;266,868;N;2;J;80;D00003;1537,668;27-08-2022;2022084;8;
14;J;48,3;N;2;J;80;D00007;278,3;27-08-2022;2022085;8;
